[2022/06/16 16:52:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.
0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                 
Files already downloaded and verified                                                                                                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                                                           
[2022/06/16 16:52:12] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss        Test Robust Acc                                        
[2022/06/16 16:55:48] - 0        187.3           28.7            0.1000          2.2171          0.1535          2.2867                  0.1258                  2.0645          0.2380          2.1444                  0.2037                                                 
[2022/06/16 16:59:24] - 1        186.9           28.8            0.1000          2.1535          0.1828          2.2315                  0.1451                  1.9525          0.2916          2.0696                  0.2337                                                 
[2022/06/16 17:03:00] - 2        187.0           28.7            0.1000          2.0943          0.2099          2.2059                  0.1573                  1.9568          0.3062          2.0848                  0.2308                                                 
[2022/06/16 17:06:36] - 3        187.0           28.7            0.1000          2.0746          0.2085          2.1965                  0.1547                  1.8414          0.3397          1.9987                  0.2643                                                 
[2022/06/16 17:10:12] - 4        187.0           28.7            0.1000          2.0429          0.2236          2.1813                  0.1617                  1.8502          0.3396          2.0233                  0.2582                                                 
[2022/06/16 17:13:47] - 5        187.0           28.7            0.1000          2.0128          0.2235          2.1645                  0.1613                  1.7776          0.3731          1.9597                  0.2743                                                 
[2022/06/16 17:17:24] - 6        187.1           28.7            0.1000          2.0199          0.2326          2.1712                  0.1637                  1.7937          0.4039          1.9475                  0.3050                                                 
[2022/06/16 17:21:00] - 7        187.1           28.7            0.1000          1.9933          0.2379          2.1565                  0.1648                  1.7075          0.4191          1.9020                  0.3056                                                 
[2022/06/16 17:24:36] - 8        187.1           28.8            0.1000          1.9955          0.2569          2.1582                  0.1755                  1.7601          0.4025          1.9349                  0.3006                                                 
[2022/06/16 17:28:11] - 9        187.0           28.8            0.1000          1.9754          0.2522          2.1487                  0.1729                  1.7459          0.3925          1.9462                  0.2782                                                 
[2022/06/16 17:31:47] - 10       187.1           28.7            0.1000          1.9497          0.2488          2.1353                  0.1708                  1.6552          0.4336          1.8812                  0.3080                                                 
