[2022/06/28 20:21:20] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.2, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.2', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
[2022/06/28 20:21:35] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 20:25:13] - 0        186.2           31.8            0.1000          1.8690          0.3194          2.1043                  0.2181                  1.6837          0.3815          1.9452              0.2694           
[2022/06/28 20:28:36] - 1        170.7           31.8            0.1000          1.6477          0.4123          1.9446                  0.2748                  1.5241          0.4745          1.8508                  0.2970       
[2022/06/28 20:31:59] - 2        170.9           31.8            0.1000          1.5283          0.4648          1.8718                  0.2988                  1.4477          0.5129          1.7838                  0.3320       
[2022/06/28 20:35:22] - 3        170.9           31.8            0.1000          1.4319          0.5084          1.8096                  0.3181                  1.3397          0.5534          1.7286                  0.3413       
[2022/06/28 20:38:45] - 4        170.9           31.8            0.1000          1.3651          0.5409          1.7680                  0.3335                  1.2644          0.5868          1.6798                  0.3675       
[2022/06/28 20:42:08] - 5        170.9           31.8            0.1000          1.3024          0.5739          1.7249                  0.3508                  1.2203          0.6004          1.6407                  0.3860       
[2022/06/28 20:45:30] - 6        170.8           31.8            0.1000          1.2474          0.5990          1.6883                  0.3629                  1.1926          0.5978          1.6318                  0.3881       
[2022/06/28 20:48:53] - 7        170.8           31.8            0.1000          1.2065          0.6115          1.6585                  0.3744                  1.1312          0.6254          1.6188                  0.3855       
[2022/06/28 20:52:16] - 8        170.8           31.8            0.1000          1.1811          0.6233          1.6416                  0.3800                  1.1356          0.6467          1.5799                  0.4068       
[2022/06/28 20:55:39] - 9        170.9           31.8            0.1000          1.1494          0.6401          1.6224                  0.3899                  1.0941          0.6408          1.6206                  0.3909       
[2022/06/28 20:59:02] - 10       170.9           31.8            0.1000          1.1331          0.6473          1.6143                  0.3924                  1.0962          0.6722          1.5636                  0.4188       
[2022/06/28 21:02:24] - 11       170.9           31.8            0.1000          1.1076          0.6600          1.5934                  0.3969                  1.0815          0.6728          1.5573                  0.4134       
[2022/06/28 21:05:47] - 12       170.9           31.8            0.1000          1.0867          0.6659          1.5783                  0.4055                  1.0304          0.6956          1.5422                  0.4256       
[2022/06/28 21:09:10] - 13       170.9           31.8            0.1000          1.0678          0.6764          1.5667                  0.4094                  1.0478          0.6675          1.5538                  0.4157       
[2022/06/28 21:12:33] - 14       170.8           31.8            0.1000          1.0556          0.6809          1.5562                  0.4115                  1.0136          0.6787          1.5197                  0.4243       
[2022/06/28 21:15:55] - 15       170.9           31.8            0.1000          1.0439          0.6845          1.5495                  0.4157                  1.0044          0.6782          1.5345                  0.4282       
[2022/06/28 21:19:18] - 16       170.9           31.8            0.1000          1.0336          0.6914          1.5429                  0.4186                  0.9969          0.6947          1.5258                  0.4282       
[2022/06/28 21:22:41] - 17       171.0           31.8            0.1000          1.0214          0.6972          1.5322                  0.4232                  1.0360          0.6525          1.5513                  0.4158       
[2022/06/28 21:26:04] - 18       170.9           31.8            0.1000          1.0122          0.7011          1.5248                  0.4244                  0.9661          0.6972          1.5202                  0.4234       
[2022/06/28 21:29:26] - 19       170.9           31.8            0.1000          1.0023          0.6999          1.5175                  0.4278                  1.0165          0.6579          1.5429                  0.4221       
