[2022/06/28 20:25:19] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.3, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.3', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                 
Files already downloaded and verified                                                                                                                                                                                                 
[2022/06/28 20:25:23] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 20:28:46] - 0        171.0           31.7            0.1000          1.8882          0.3090          2.1147                  0.2149                  1.7177          0.3716          1.9553              0.2747           
[2022/06/28 20:32:08] - 1        170.7           31.9            0.1000          1.6788          0.3973          1.9594                  0.2686                  1.5554          0.4650          1.8698              0.2841           
[2022/06/28 20:35:31] - 2        170.6           31.7            0.1000          1.5594          0.4498          1.8886                  0.2924                  1.4717          0.5005          1.8010              0.3315           
[2022/06/28 20:38:53] - 3        170.6           31.7            0.1000          1.4638          0.4942          1.8270                  0.3136                  1.3572          0.5425          1.7371              0.3436           
[2022/06/28 20:42:16] - 4        170.7           31.7            0.1000          1.3925          0.5296          1.7816                  0.3283                  1.2804          0.5835          1.7001              0.3602           
[2022/06/28 20:45:39] - 5        170.7           31.8            0.1000          1.3264          0.5610          1.7386                  0.3450                  1.2432          0.5847          1.6580              0.3780           
[2022/06/28 20:49:01] - 6        170.7           31.7            0.1000          1.2730          0.5855          1.7011                  0.3601                  1.1938          0.6022          1.6384              0.3884           
[2022/06/28 20:52:24] - 7        170.6           31.7            0.1000          1.2303          0.6031          1.6729                  0.3699                  1.1332          0.6250          1.6264              0.3871           
[2022/06/28 20:55:46] - 8        170.6           31.7            0.1000          1.2021          0.6138          1.6517                  0.3761                  1.1519          0.6375          1.6020              0.4018           
[2022/06/28 20:59:08] - 9        170.6           31.7            0.1000          1.1712          0.6316          1.6341                  0.3871                  1.1094          0.6366          1.6253              0.3871           
