[2022/07/11 23:05:05] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.8, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_dropout/preactresnet18_0.8', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/11 23:05:09] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/11 23:08:32] - 0 	 171.4 	 	 31.8 	 	 0.1000 	 2.4138 	 0.1213 	 2.4628 	 	 0.1128 	 	 2.1714 	 0.1960 	 2.2290 	 	 0.1664
[2022/07/11 23:11:55] - 1 	 170.9 	 	 31.8 	 	 0.1000 	 2.1476 	 0.1912 	 2.2096 	 	 0.1641 	 	 2.1328 	 0.1995 	 2.2396 	 	 0.1652
[2022/07/11 23:15:17] - 2 	 170.8 	 	 31.8 	 	 0.1000 	 2.0739 	 0.2164 	 2.1691 	 	 0.1777 	 	 2.1063 	 0.2076 	 2.2521 	 	 0.1704
[2022/07/11 23:18:40] - 3 	 170.7 	 	 31.8 	 	 0.1000 	 1.9773 	 0.2528 	 2.1169 	 	 0.1953 	 	 1.9379 	 0.2752 	 2.1780 	 	 0.1815
[2022/07/11 23:22:03] - 4 	 170.7 	 	 31.8 	 	 0.1000 	 1.8876 	 0.2921 	 2.0587 	 	 0.2242 	 	 1.8180 	 0.3402 	 2.0269 	 	 0.2438
[2022/07/11 23:25:25] - 5 	 170.7 	 	 31.8 	 	 0.1000 	 1.8291 	 0.3219 	 2.0198 	 	 0.2418 	 	 1.7132 	 0.3700 	 1.9714 	 	 0.2619
[2022/07/11 23:28:48] - 6 	 170.7 	 	 31.7 	 	 0.1000 	 1.7784 	 0.3429 	 1.9895 	 	 0.2514 	 	 1.6793 	 0.3970 	 1.9584 	 	 0.2705
[2022/07/11 23:32:11] - 7 	 170.7 	 	 31.8 	 	 0.1000 	 1.7383 	 0.3625 	 1.9650 	 	 0.2630 	 	 1.6093 	 0.4357 	 1.8984 	 	 0.2925
[2022/07/11 23:35:33] - 8 	 170.7 	 	 31.8 	 	 0.1000 	 1.6949 	 0.3792 	 1.9409 	 	 0.2745 	 	 1.5823 	 0.4389 	 1.8817 	 	 0.2994
[2022/07/11 23:38:56] - 9 	 170.6 	 	 31.8 	 	 0.1000 	 1.6656 	 0.3946 	 1.9173 	 	 0.2859 	 	 1.5454 	 0.4658 	 1.8811 	 	 0.2973
[2022/07/11 23:42:19] - 10 	 170.7 	 	 31.8 	 	 0.1000 	 1.6384 	 0.4093 	 1.9022 	 	 0.2910 	 	 1.5214 	 0.4758 	 1.8447 	 	 0.3179
[2022/07/11 23:45:41] - 11 	 170.7 	 	 31.8 	 	 0.1000 	 1.6136 	 0.4192 	 1.8846 	 	 0.2979 	 	 1.4819 	 0.5013 	 1.8446 	 	 0.3110
[2022/07/11 23:49:04] - 12 	 170.7 	 	 31.8 	 	 0.1000 	 1.5838 	 0.4353 	 1.8670 	 	 0.3058 	 	 1.4626 	 0.5183 	 1.8461 	 	 0.3204
[2022/07/11 23:52:27] - 13 	 170.6 	 	 31.8 	 	 0.1000 	 1.5651 	 0.4428 	 1.8532 	 	 0.3095 	 	 1.4153 	 0.4994 	 1.8149 	 	 0.3173
[2022/07/11 23:55:49] - 14 	 170.6 	 	 31.8 	 	 0.1000 	 1.5476 	 0.4520 	 1.8415 	 	 0.3135 	 	 1.4052 	 0.5090 	 1.8197 	 	 0.3165
[2022/07/11 23:59:11] - 15 	 170.6 	 	 31.8 	 	 0.1000 	 1.5296 	 0.4566 	 1.8294 	 	 0.3199 	 	 1.3745 	 0.5319 	 1.8026 	 	 0.3235
[2022/07/12 00:02:34] - 16 	 170.6 	 	 31.8 	 	 0.1000 	 1.5224 	 0.4643 	 1.8276 	 	 0.3239 	 	 1.3873 	 0.5335 	 1.7804 	 	 0.3404
[2022/07/12 00:05:59] - 17 	 170.6 	 	 31.8 	 	 0.1000 	 1.5071 	 0.4691 	 1.8147 	 	 0.3267 	 	 1.3577 	 0.5249 	 1.7851 	 	 0.3317
[2022/07/12 00:09:21] - 18 	 170.6 	 	 31.8 	 	 0.1000 	 1.4970 	 0.4712 	 1.8052 	 	 0.3264 	 	 1.3689 	 0.5410 	 1.8188 	 	 0.3130
[2022/07/12 00:12:43] - 19 	 170.6 	 	 31.8 	 	 0.1000 	 1.4911 	 0.4751 	 1.8033 	 	 0.3309 	 	 1.3977 	 0.5132 	 1.8413 	 	 0.3255
[2022/07/12 00:16:06] - 20 	 170.5 	 	 31.8 	 	 0.1000 	 1.4824 	 0.4805 	 1.7950 	 	 0.3343 	 	 1.3482 	 0.5377 	 1.8311 	 	 0.3268
[2022/07/12 00:19:28] - 21 	 170.6 	 	 31.8 	 	 0.1000 	 1.4714 	 0.4826 	 1.7850 	 	 0.3381 	 	 1.3167 	 0.5574 	 1.8088 	 	 0.3227
[2022/07/12 00:22:51] - 22 	 170.6 	 	 31.7 	 	 0.1000 	 1.4766 	 0.4844 	 1.7915 	 	 0.3353 	 	 1.3440 	 0.5375 	 1.8143 	 	 0.3287
[2022/07/12 00:26:13] - 23 	 170.6 	 	 31.8 	 	 0.1000 	 1.4738 	 0.4828 	 1.7898 	 	 0.3362 	 	 1.3047 	 0.5648 	 1.7966 	 	 0.3301
[2022/07/12 00:29:35] - 24 	 170.5 	 	 31.8 	 	 0.1000 	 1.4630 	 0.4894 	 1.7839 	 	 0.3402 	 	 1.3469 	 0.5415 	 1.7808 	 	 0.3377
