[2022/07/18 11:25:40] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', dropout=0, epochs=200, epsilon=8, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_mixup/preactresnet18_1.0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/18 11:25:50] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/18 11:27:17] - 0 	 48.3 	 	 39.0 	 	 0.1000 	 2.0686 	 0.2066 	 2.1748 	 	 0.1277 	 	 1.8181 	 0.3431 	 2.1061 	 	 0.2077
[2022/07/18 11:28:41] - 1 	 44.3 	 	 38.7 	 	 0.1000 	 1.9609 	 0.2454 	 2.0858 	 	 0.1481 	 	 1.6218 	 0.4311 	 2.0445 	 	 0.2328
[2022/07/18 11:30:04] - 2 	 44.4 	 	 38.6 	 	 0.1000 	 1.9096 	 0.2673 	 2.0521 	 	 0.1515 	 	 1.7348 	 0.3962 	 2.1206 	 	 0.2280
[2022/07/18 11:31:27] - 3 	 44.3 	 	 38.6 	 	 0.1000 	 1.8735 	 0.2666 	 2.0220 	 	 0.1411 	 	 1.5193 	 0.4840 	 2.0017 	 	 0.2423
[2022/07/18 11:32:50] - 4 	 44.4 	 	 38.6 	 	 0.1000 	 1.8250 	 0.2917 	 1.9939 	 	 0.1542 	 	 1.4581 	 0.5209 	 1.9136 	 	 0.2827
[2022/07/18 11:34:13] - 5 	 44.3 	 	 38.7 	 	 0.1000 	 1.7668 	 0.2882 	 1.9450 	 	 0.1419 	 	 1.4091 	 0.5447 	 1.9507 	 	 0.2599
[2022/07/18 11:35:36] - 6 	 44.4 	 	 38.6 	 	 0.1000 	 1.7677 	 0.3075 	 1.9513 	 	 0.1483 	 	 1.2971 	 0.5818 	 1.8984 	 	 0.2884
[2022/07/18 11:36:59] - 7 	 44.5 	 	 38.6 	 	 0.1000 	 1.7254 	 0.3195 	 1.9201 	 	 0.1502 	 	 1.2764 	 0.5823 	 1.9001 	 	 0.2988
[2022/07/18 11:38:22] - 8 	 44.2 	 	 38.6 	 	 0.1000 	 1.7283 	 0.3453 	 1.9336 	 	 0.1655 	 	 1.4443 	 0.5591 	 1.9473 	 	 0.2728
[2022/07/18 11:39:45] - 9 	 44.4 	 	 38.6 	 	 0.1000 	 1.7085 	 0.3387 	 1.9219 	 	 0.1573 	 	 1.3807 	 0.5878 	 1.8484 	 	 0.3034
