[2022/07/18 11:48:06] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0, epochs=200, epsilon=8, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/fgsm_cifar10_l2/preactresnet18_5e-4', half=False, l1=0, l2=0.0005, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/18 11:48:10] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/18 11:49:13] - 0 	 35.1 	 	 28.8 	 	 0.1000 	 1.8246 	 0.3250 	 2.0371 	 	 0.2368 	 	 1.6004 	 0.4147 	 1.9664 	 	 0.2544
[2022/07/18 11:50:17] - 1 	 34.4 	 	 28.8 	 	 0.1000 	 1.5485 	 0.4379 	 1.8336 	 	 0.3066 	 	 1.4304 	 0.4876 	 1.9099 	 	 0.2719
[2022/07/18 11:51:20] - 2 	 34.5 	 	 28.8 	 	 0.1000 	 1.3890 	 0.5081 	 1.7300 	 	 0.3444 	 	 1.3543 	 0.5069 	 1.8362 	 	 0.3030
[2022/07/18 11:52:24] - 3 	 34.5 	 	 28.8 	 	 0.1000 	 1.2717 	 0.5560 	 1.6507 	 	 0.3715 	 	 1.2200 	 0.5626 	 1.8217 	 	 0.3155
[2022/07/18 11:53:27] - 4 	 34.4 	 	 28.7 	 	 0.1000 	 1.1637 	 0.6036 	 1.5776 	 	 0.4014 	 	 1.1480 	 0.5988 	 1.7741 	 	 0.3271
[2022/07/18 11:54:30] - 5 	 34.4 	 	 28.8 	 	 0.1000 	 1.0914 	 0.6343 	 1.5261 	 	 0.4189 	 	 1.1267 	 0.6009 	 1.7632 	 	 0.3388
[2022/07/18 11:55:34] - 6 	 34.5 	 	 28.8 	 	 0.1000 	 1.0318 	 0.6596 	 1.4819 	 	 0.4373 	 	 0.9636 	 0.6761 	 1.7630 	 	 0.3376
[2022/07/18 11:56:37] - 7 	 34.4 	 	 28.7 	 	 0.1000 	 0.9808 	 0.6793 	 1.4425 	 	 0.4506 	 	 0.9838 	 0.6826 	 1.6825 	 	 0.3589
[2022/07/18 11:57:40] - 8 	 34.4 	 	 28.7 	 	 0.1000 	 0.9353 	 0.7010 	 1.4068 	 	 0.4622 	 	 0.9461 	 0.6831 	 1.7097 	 	 0.3622
[2022/07/18 11:58:44] - 9 	 34.4 	 	 28.8 	 	 0.1000 	 0.9004 	 0.7143 	 1.3801 	 	 0.4759 	 	 0.8569 	 0.7133 	 1.6971 	 	 0.3623
[2022/07/18 11:59:47] - 10 	 34.5 	 	 28.7 	 	 0.1000 	 0.8660 	 0.7276 	 1.3538 	 	 0.4841 	 	 0.9080 	 0.6872 	 1.7860 	 	 0.3598
[2022/07/18 12:00:51] - 11 	 34.5 	 	 28.8 	 	 0.1000 	 0.8411 	 0.7387 	 1.3294 	 	 0.4922 	 	 0.8794 	 0.7149 	 1.6246 	 	 0.3893
[2022/07/18 12:01:54] - 12 	 34.5 	 	 28.8 	 	 0.1000 	 0.8211 	 0.7465 	 1.3165 	 	 0.4975 	 	 0.8292 	 0.7383 	 1.6112 	 	 0.3961
[2022/07/18 12:02:57] - 13 	 34.4 	 	 28.8 	 	 0.1000 	 0.7974 	 0.7551 	 1.2953 	 	 0.5049 	 	 0.8209 	 0.7349 	 1.6663 	 	 0.3834
[2022/07/18 12:04:01] - 14 	 34.5 	 	 28.8 	 	 0.1000 	 0.7760 	 0.7637 	 1.2762 	 	 0.5120 	 	 0.7988 	 0.7502 	 1.6617 	 	 0.3789
[2022/07/18 12:05:04] - 15 	 34.5 	 	 28.8 	 	 0.1000 	 0.7577 	 0.7726 	 1.2601 	 	 0.5146 	 	 0.7450 	 0.7557 	 1.6659 	 	 0.3877
[2022/07/18 12:06:07] - 16 	 34.5 	 	 28.7 	 	 0.1000 	 0.7456 	 0.7775 	 1.2500 	 	 0.5230 	 	 0.7744 	 0.7372 	 1.6649 	 	 0.3914
[2022/07/18 12:07:10] - 17 	 34.4 	 	 28.8 	 	 0.1000 	 0.7293 	 0.7813 	 1.2341 	 	 0.5289 	 	 0.7839 	 0.7623 	 1.6177 	 	 0.3926
[2022/07/18 12:08:14] - 18 	 35.1 	 	 28.7 	 	 0.1000 	 0.7137 	 0.7879 	 1.2219 	 	 0.5302 	 	 0.7299 	 0.7565 	 1.7045 	 	 0.3761
[2022/07/18 12:09:17] - 19 	 34.4 	 	 28.8 	 	 0.1000 	 0.6991 	 0.7956 	 1.2076 	 	 0.5389 	 	 0.7645 	 0.7564 	 1.6715 	 	 0.3793
[2022/07/18 12:10:21] - 20 	 34.4 	 	 28.8 	 	 0.1000 	 0.6849 	 0.8007 	 1.1960 	 	 0.5412 	 	 0.7416 	 0.7646 	 1.6390 	 	 0.3987
