[2022/07/12 15:17:08] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0, epochs=200, epsilon=8, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_mix/preactresnet18_0.875', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/12 15:17:11] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/12 15:18:36] - 0 	 46.2 	 	 38.6 	 	 0.1000 	 2.0254 	 0.2278 	 2.1468 	 	 0.1385 	 	 1.7567 	 0.3774 	 2.1195 	 	 0.2138
[2022/07/12 15:19:59] - 1 	 44.2 	 	 38.6 	 	 0.1000 	 1.9022 	 0.2590 	 2.0408 	 	 0.1483 	 	 1.6841 	 0.4374 	 1.9778 	 	 0.2758
[2022/07/12 15:21:22] - 2 	 44.1 	 	 38.6 	 	 0.1000 	 1.8335 	 0.2759 	 1.9930 	 	 0.1450 	 	 1.5187 	 0.5083 	 1.9200 	 	 0.2869
[2022/07/12 15:22:45] - 3 	 44.1 	 	 38.6 	 	 0.1000 	 1.7908 	 0.3080 	 1.9671 	 	 0.1610 	 	 1.5314 	 0.4936 	 1.9486 	 	 0.2790
[2022/07/12 15:24:08] - 4 	 44.1 	 	 38.6 	 	 0.1000 	 1.7322 	 0.3429 	 1.9339 	 	 0.1744 	 	 1.5068 	 0.5438 	 1.8965 	 	 0.2991
[2022/07/12 15:25:30] - 5 	 44.1 	 	 38.6 	 	 0.1000 	 1.6596 	 0.3533 	 1.8772 	 	 0.1784 	 	 1.2831 	 0.5925 	 1.9403 	 	 0.2688
[2022/07/12 15:26:53] - 6 	 44.2 	 	 38.5 	 	 0.1000 	 1.6564 	 0.3334 	 1.8619 	 	 0.1580 	 	 1.2365 	 0.6408 	 1.9003 	 	 0.2816
[2022/07/12 15:28:16] - 7 	 44.1 	 	 38.6 	 	 0.1000 	 1.6204 	 0.3587 	 1.8458 	 	 0.1688 	 	 1.3931 	 0.6072 	 1.8591 	 	 0.3208
[2022/07/12 15:29:39] - 8 	 44.1 	 	 38.5 	 	 0.1000 	 1.5972 	 0.3687 	 1.8260 	 	 0.1757 	 	 1.1801 	 0.6527 	 1.8281 	 	 0.3099
[2022/07/12 15:31:01] - 9 	 44.1 	 	 38.6 	 	 0.1000 	 1.6014 	 0.3873 	 1.8360 	 	 0.1839 	 	 1.2015 	 0.6702 	 1.8128 	 	 0.3155
