[2022/07/12 15:17:54] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0, epochs=200, epsilon=8, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_l1/preactresnet18_0.875', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/12 15:17:57] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/12 15:19:01] - 0 	 34.9 	 	 28.8 	 	 0.1000 	 1.8402 	 0.3190 	 2.0483 	 	 0.2324 	 	 1.6157 	 0.4089 	 1.9570 	 	 0.2658
[2022/07/12 15:20:05] - 1 	 34.5 	 	 28.8 	 	 0.1000 	 1.5592 	 0.4335 	 1.8383 	 	 0.3042 	 	 1.4468 	 0.4801 	 1.9056 	 	 0.2731
[2022/07/12 15:21:08] - 2 	 34.5 	 	 28.8 	 	 0.1000 	 1.3916 	 0.5075 	 1.7269 	 	 0.3450 	 	 1.3816 	 0.5019 	 1.8598 	 	 0.2983
[2022/07/12 15:22:12] - 3 	 34.5 	 	 28.8 	 	 0.1000 	 1.2678 	 0.5605 	 1.6384 	 	 0.3732 	 	 1.1924 	 0.5805 	 1.7759 	 	 0.3224
[2022/07/12 15:23:15] - 4 	 34.5 	 	 28.8 	 	 0.1000 	 1.1547 	 0.6143 	 1.5561 	 	 0.4080 	 	 1.1237 	 0.6227 	 1.7373 	 	 0.3360
[2022/07/12 15:24:19] - 5 	 34.6 	 	 28.8 	 	 0.1000 	 1.0778 	 0.6481 	 1.4979 	 	 0.4281 	 	 1.0800 	 0.6170 	 1.7353 	 	 0.3472
[2022/07/12 15:25:22] - 6 	 34.6 	 	 28.8 	 	 0.1000 	 1.0182 	 0.6749 	 1.4541 	 	 0.4476 	 	 0.9757 	 0.6785 	 1.7116 	 	 0.3538
[2022/07/12 15:26:26] - 7 	 34.5 	 	 28.8 	 	 0.1000 	 0.9633 	 0.6961 	 1.4119 	 	 0.4609 	 	 0.9356 	 0.7005 	 1.6811 	 	 0.3622
[2022/07/12 15:27:29] - 8 	 34.5 	 	 28.8 	 	 0.1000 	 0.9222 	 0.7129 	 1.3811 	 	 0.4707 	 	 0.9228 	 0.6911 	 1.6622 	 	 0.3708
[2022/07/12 15:28:33] - 9 	 34.5 	 	 28.8 	 	 0.1000 	 0.8903 	 0.7276 	 1.3567 	 	 0.4829 	 	 0.8844 	 0.7143 	 1.6503 	 	 0.3711
[2022/07/12 15:29:36] - 10 	 34.5 	 	 28.8 	 	 0.1000 	 0.8594 	 0.7378 	 1.3332 	 	 0.4929 	 	 0.9040 	 0.6911 	 1.6810 	 	 0.3801
[2022/07/12 15:30:40] - 11 	 34.6 	 	 28.8 	 	 0.1000 	 0.8364 	 0.7475 	 1.3132 	 	 0.4971 	 	 0.8751 	 0.7218 	 1.6215 	 	 0.3873
[2022/07/12 15:31:44] - 12 	 34.6 	 	 28.8 	 	 0.1000 	 0.8185 	 0.7540 	 1.3024 	 	 0.5021 	 	 0.8484 	 0.7359 	 1.6119 	 	 0.3919
[2022/07/12 15:32:47] - 13 	 34.5 	 	 28.8 	 	 0.1000 	 0.7994 	 0.7652 	 1.2851 	 	 0.5095 	 	 0.8266 	 0.7289 	 1.6860 	 	 0.3828
