[2022/05/28 01:39:17] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_l1/preactresnet18_5e-7', half=False, l1=5e-07, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/05/28 01:39:21] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/05/28 01:43:28] - 0 	 208.8 	 	 38.7 	 	 0.1000 	 1.9796 	 0.2735 	 2.2091 	 	 0.1961 	 	 1.7539 	 0.3590 	 1.9899 	 	 0.2591
[2022/05/28 01:47:34] - 1 	 206.5 	 	 38.6 	 	 0.1000 	 1.7071 	 0.3865 	 2.0187 	 	 0.2607 	 	 1.6094 	 0.4574 	 1.8706 	 	 0.2981
[2022/05/28 01:51:39] - 2 	 206.6 	 	 38.6 	 	 0.1000 	 1.5901 	 0.4395 	 1.9396 	 	 0.2852 	 	 1.5699 	 0.4596 	 1.8462 	 	 0.3115
[2022/05/28 01:55:44] - 3 	 206.6 	 	 38.6 	 	 0.1000 	 1.4928 	 0.4835 	 1.8740 	 	 0.3057 	 	 1.3883 	 0.5289 	 1.7365 	 	 0.3478
[2022/05/28 01:59:50] - 4 	 206.5 	 	 38.6 	 	 0.1000 	 1.4122 	 0.5183 	 1.8213 	 	 0.3211 	 	 1.3317 	 0.5305 	 1.7138 	 	 0.3545
[2022/05/28 02:03:55] - 5 	 206.6 	 	 38.6 	 	 0.1000 	 1.3377 	 0.5561 	 1.7731 	 	 0.3416 	 	 1.2586 	 0.5939 	 1.6595 	 	 0.3649
[2022/05/28 02:08:01] - 6 	 206.6 	 	 38.6 	 	 0.1000 	 1.2776 	 0.5850 	 1.7319 	 	 0.3534 	 	 1.2215 	 0.6091 	 1.6386 	 	 0.4006
[2022/05/28 02:12:06] - 7 	 206.7 	 	 38.6 	 	 0.1000 	 1.2306 	 0.6063 	 1.7037 	 	 0.3674 	 	 1.2091 	 0.6080 	 1.6137 	 	 0.4043
[2022/05/28 02:16:12] - 8 	 206.8 	 	 38.6 	 	 0.1000 	 1.1870 	 0.6231 	 1.6735 	 	 0.3729 	 	 1.1739 	 0.6219 	 1.6086 	 	 0.3896
[2022/05/28 02:20:17] - 9 	 206.5 	 	 38.6 	 	 0.1000 	 1.1587 	 0.6408 	 1.6574 	 	 0.3802 	 	 1.1224 	 0.6418 	 1.5594 	 	 0.4123
[2022/05/28 02:24:23] - 10 	 206.7 	 	 38.7 	 	 0.1000 	 1.1325 	 0.6503 	 1.6407 	 	 0.3884 	 	 1.1358 	 0.6415 	 1.5564 	 	 0.4256
[2022/05/28 02:28:28] - 11 	 206.5 	 	 38.7 	 	 0.1000 	 1.1141 	 0.6576 	 1.6296 	 	 0.3959 	 	 1.0681 	 0.6547 	 1.5540 	 	 0.4190
[2022/05/28 02:32:33] - 12 	 206.6 	 	 38.6 	 	 0.1000 	 1.0909 	 0.6672 	 1.6136 	 	 0.4000 	 	 1.0937 	 0.6702 	 1.5416 	 	 0.4247
[2022/05/28 02:36:39] - 13 	 206.6 	 	 38.7 	 	 0.1000 	 1.0751 	 0.6768 	 1.6028 	 	 0.4045 	 	 1.0412 	 0.6651 	 1.5324 	 	 0.4261
[2022/05/28 02:40:44] - 14 	 206.7 	 	 38.6 	 	 0.1000 	 1.0527 	 0.6851 	 1.5872 	 	 0.4082 	 	 1.0622 	 0.6676 	 1.5416 	 	 0.4165
[2022/05/28 02:44:49] - 15 	 206.5 	 	 38.6 	 	 0.1000 	 1.0351 	 0.6937 	 1.5755 	 	 0.4147 	 	 1.0384 	 0.6742 	 1.5294 	 	 0.4256
[2022/05/28 02:48:54] - 16 	 206.5 	 	 38.6 	 	 0.1000 	 1.0274 	 0.6952 	 1.5709 	 	 0.4153 	 	 1.0202 	 0.6800 	 1.5124 	 	 0.4261
[2022/05/28 02:53:00] - 17 	 206.6 	 	 38.7 	 	 0.1000 	 1.0176 	 0.6994 	 1.5636 	 	 0.4172 	 	 1.0307 	 0.6671 	 1.5212 	 	 0.4279
[2022/05/28 02:57:05] - 18 	 206.6 	 	 38.6 	 	 0.1000 	 1.0050 	 0.7019 	 1.5537 	 	 0.4209 	 	 1.0310 	 0.6497 	 1.5244 	 	 0.4200
[2022/05/28 03:01:10] - 19 	 206.5 	 	 38.7 	 	 0.1000 	 0.9935 	 0.7104 	 1.5473 	 	 0.4234 	 	 1.0124 	 0.6735 	 1.5087 	 	 0.4356
[2022/05/28 03:05:16] - 20 	 206.6 	 	 38.6 	 	 0.1000 	 0.9828 	 0.7120 	 1.5376 	 	 0.4280 	 	 0.9670 	 0.6815 	 1.4777 	 	 0.4511
[2022/05/28 03:09:22] - 21 	 206.6 	 	 38.6 	 	 0.1000 	 0.9766 	 0.7145 	 1.5335 	 	 0.4303 	 	 0.9817 	 0.7062 	 1.4664 	 	 0.4549
[2022/05/28 03:13:27] - 22 	 206.6 	 	 38.6 	 	 0.1000 	 0.9692 	 0.7204 	 1.5305 	 	 0.4294 	 	 0.9699 	 0.6981 	 1.4863 	 	 0.4354
[2022/05/28 03:17:32] - 23 	 206.6 	 	 38.6 	 	 0.1000 	 0.9647 	 0.7200 	 1.5266 	 	 0.4310 	 	 0.9223 	 0.7102 	 1.4984 	 	 0.4359
[2022/05/28 03:21:38] - 24 	 206.6 	 	 38.6 	 	 0.1000 	 0.9583 	 0.7243 	 1.5212 	 	 0.4340 	 	 0.9421 	 0.7001 	 1.4776 	 	 0.4507
[2022/05/28 03:25:43] - 25 	 206.5 	 	 38.6 	 	 0.1000 	 0.9441 	 0.7311 	 1.5136 	 	 0.4362 	 	 0.9311 	 0.7239 	 1.4916 	 	 0.4386
[2022/05/28 03:29:48] - 26 	 206.5 	 	 38.6 	 	 0.1000 	 0.9465 	 0.7287 	 1.5136 	 	 0.4339 	 	 0.9415 	 0.6899 	 1.4770 	 	 0.4364
[2022/05/28 03:33:53] - 27 	 206.6 	 	 38.6 	 	 0.1000 	 0.9414 	 0.7320 	 1.5098 	 	 0.4372 	 	 0.9266 	 0.7126 	 1.4609 	 	 0.4531
[2022/05/28 03:37:58] - 28 	 206.7 	 	 38.6 	 	 0.1000 	 0.9342 	 0.7348 	 1.5050 	 	 0.4406 	 	 0.9443 	 0.7115 	 1.4925 	 	 0.4350
[2022/05/28 03:42:04] - 29 	 206.6 	 	 38.7 	 	 0.1000 	 0.9353 	 0.7327 	 1.5055 	 	 0.4404 	 	 0.9289 	 0.7152 	 1.4601 	 	 0.4568
[2022/05/28 03:46:10] - 30 	 206.6 	 	 38.7 	 	 0.1000 	 0.9251 	 0.7379 	 1.4982 	 	 0.4432 	 	 0.8921 	 0.7364 	 1.4501 	 	 0.4528
[2022/05/28 03:50:15] - 31 	 206.5 	 	 38.6 	 	 0.1000 	 0.9204 	 0.7400 	 1.4965 	 	 0.4398 	 	 1.0143 	 0.6920 	 1.5028 	 	 0.4442
[2022/05/28 03:54:20] - 32 	 206.5 	 	 38.6 	 	 0.1000 	 0.9200 	 0.7388 	 1.4946 	 	 0.4422 	 	 0.9259 	 0.7293 	 1.4473 	 	 0.4541
[2022/05/28 03:58:25] - 33 	 206.6 	 	 38.6 	 	 0.1000 	 0.9142 	 0.7430 	 1.4904 	 	 0.4444 	 	 0.9427 	 0.7085 	 1.4955 	 	 0.4388
[2022/05/28 04:02:30] - 34 	 206.6 	 	 38.6 	 	 0.1000 	 0.9106 	 0.7424 	 1.4877 	 	 0.4456 	 	 0.9650 	 0.6920 	 1.4979 	 	 0.4363
[2022/05/28 04:06:35] - 35 	 206.4 	 	 38.6 	 	 0.1000 	 0.9121 	 0.7419 	 1.4886 	 	 0.4456 	 	 0.9032 	 0.7163 	 1.4716 	 	 0.4403
[2022/05/28 04:10:40] - 36 	 206.5 	 	 38.6 	 	 0.1000 	 0.9083 	 0.7435 	 1.4845 	 	 0.4478 	 	 0.9739 	 0.7001 	 1.4702 	 	 0.4511
[2022/05/28 04:14:46] - 37 	 206.6 	 	 38.6 	 	 0.1000 	 0.9042 	 0.7462 	 1.4839 	 	 0.4471 	 	 0.9682 	 0.7182 	 1.4747 	 	 0.4572
[2022/05/28 04:18:51] - 38 	 206.6 	 	 38.6 	 	 0.1000 	 0.8951 	 0.7513 	 1.4762 	 	 0.4499 	 	 0.9341 	 0.6993 	 1.4520 	 	 0.4529
[2022/05/28 04:22:56] - 39 	 206.6 	 	 38.6 	 	 0.1000 	 0.8979 	 0.7480 	 1.4798 	 	 0.4498 	 	 0.9486 	 0.7412 	 1.4529 	 	 0.4654
[2022/05/28 04:27:02] - 40 	 206.5 	 	 38.6 	 	 0.1000 	 0.8963 	 0.7517 	 1.4784 	 	 0.4500 	 	 0.8891 	 0.7264 	 1.4590 	 	 0.4578
[2022/05/28 04:31:07] - 41 	 206.6 	 	 38.6 	 	 0.1000 	 0.8916 	 0.7539 	 1.4743 	 	 0.4500 	 	 0.9017 	 0.7401 	 1.4397 	 	 0.4550
[2022/05/28 04:35:13] - 42 	 206.6 	 	 38.6 	 	 0.1000 	 0.8914 	 0.7541 	 1.4741 	 	 0.4510 	 	 0.9356 	 0.7103 	 1.4600 	 	 0.4566
[2022/05/28 04:39:18] - 43 	 206.5 	 	 38.6 	 	 0.1000 	 0.8870 	 0.7554 	 1.4708 	 	 0.4493 	 	 0.8699 	 0.7373 	 1.4483 	 	 0.4492
[2022/05/28 04:43:23] - 44 	 206.5 	 	 38.7 	 	 0.1000 	 0.8902 	 0.7523 	 1.4754 	 	 0.4506 	 	 0.8712 	 0.7336 	 1.4292 	 	 0.4632
[2022/05/28 04:47:28] - 45 	 206.6 	 	 38.6 	 	 0.1000 	 0.8899 	 0.7515 	 1.4731 	 	 0.4518 	 	 0.9371 	 0.7121 	 1.4493 	 	 0.4584
[2022/05/28 04:51:33] - 46 	 206.6 	 	 38.7 	 	 0.1000 	 0.8876 	 0.7534 	 1.4722 	 	 0.4506 	 	 0.9127 	 0.7418 	 1.4383 	 	 0.4619
[2022/05/28 04:55:39] - 47 	 206.5 	 	 38.6 	 	 0.1000 	 0.8838 	 0.7579 	 1.4698 	 	 0.4534 	 	 0.9223 	 0.7144 	 1.4455 	 	 0.4508
[2022/05/28 04:59:44] - 48 	 206.6 	 	 38.6 	 	 0.1000 	 0.8812 	 0.7596 	 1.4688 	 	 0.4532 	 	 0.8932 	 0.7250 	 1.4615 	 	 0.4422
[2022/05/28 05:03:49] - 49 	 206.5 	 	 38.6 	 	 0.1000 	 0.8807 	 0.7566 	 1.4649 	 	 0.4522 	 	 0.8606 	 0.7152 	 1.4376 	 	 0.4564
[2022/05/28 05:07:55] - 50 	 206.6 	 	 38.6 	 	 0.1000 	 0.8764 	 0.7592 	 1.4644 	 	 0.4540 	 	 0.8774 	 0.7419 	 1.4344 	 	 0.4623
[2022/05/28 05:12:00] - 51 	 206.6 	 	 38.6 	 	 0.1000 	 0.8716 	 0.7618 	 1.4602 	 	 0.4552 	 	 0.9244 	 0.7142 	 1.4674 	 	 0.4499
[2022/05/28 05:16:05] - 52 	 206.7 	 	 38.6 	 	 0.1000 	 0.8735 	 0.7612 	 1.4623 	 	 0.4555 	 	 0.8681 	 0.7368 	 1.4314 	 	 0.4582
[2022/05/28 05:20:10] - 53 	 206.6 	 	 38.6 	 	 0.1000 	 0.8743 	 0.7584 	 1.4617 	 	 0.4560 	 	 0.8717 	 0.7464 	 1.4474 	 	 0.4573
[2022/05/28 05:24:16] - 54 	 206.6 	 	 38.6 	 	 0.1000 	 0.8723 	 0.7629 	 1.4596 	 	 0.4534 	 	 0.8740 	 0.7159 	 1.4471 	 	 0.4542
[2022/05/28 05:28:21] - 55 	 206.6 	 	 38.6 	 	 0.1000 	 0.8680 	 0.7628 	 1.4578 	 	 0.4569 	 	 0.8771 	 0.7350 	 1.4343 	 	 0.4585
[2022/05/28 05:32:26] - 56 	 206.6 	 	 38.7 	 	 0.1000 	 0.8680 	 0.7618 	 1.4578 	 	 0.4593 	 	 0.8958 	 0.7277 	 1.4398 	 	 0.4484
[2022/05/28 05:36:31] - 57 	 206.5 	 	 38.7 	 	 0.1000 	 0.8663 	 0.7647 	 1.4571 	 	 0.4574 	 	 0.8762 	 0.7398 	 1.4278 	 	 0.4646
[2022/05/28 05:40:36] - 58 	 206.6 	 	 38.6 	 	 0.1000 	 0.8695 	 0.7612 	 1.4597 	 	 0.4579 	 	 0.9052 	 0.7233 	 1.4506 	 	 0.4592
[2022/05/28 05:44:42] - 59 	 206.5 	 	 38.6 	 	 0.1000 	 0.8657 	 0.7636 	 1.4551 	 	 0.4598 	 	 0.8721 	 0.7329 	 1.4285 	 	 0.4624
[2022/05/28 05:48:47] - 60 	 206.6 	 	 38.6 	 	 0.1000 	 0.8628 	 0.7642 	 1.4523 	 	 0.4582 	 	 0.8966 	 0.7179 	 1.4442 	 	 0.4612
[2022/05/28 05:52:52] - 61 	 206.5 	 	 38.6 	 	 0.1000 	 0.8656 	 0.7632 	 1.4570 	 	 0.4570 	 	 0.9023 	 0.7250 	 1.4459 	 	 0.4554
[2022/05/28 05:56:58] - 62 	 206.5 	 	 38.6 	 	 0.1000 	 0.8665 	 0.7615 	 1.4577 	 	 0.4563 	 	 0.8796 	 0.7264 	 1.4452 	 	 0.4582
[2022/05/28 06:01:03] - 63 	 206.6 	 	 38.6 	 	 0.1000 	 0.8563 	 0.7663 	 1.4487 	 	 0.4606 	 	 0.9239 	 0.7282 	 1.4452 	 	 0.4663
[2022/05/28 06:05:08] - 64 	 206.6 	 	 38.6 	 	 0.1000 	 0.8604 	 0.7650 	 1.4520 	 	 0.4571 	 	 0.8704 	 0.7320 	 1.4378 	 	 0.4556
[2022/05/28 06:09:13] - 65 	 206.6 	 	 38.7 	 	 0.1000 	 0.8526 	 0.7690 	 1.4474 	 	 0.4598 	 	 0.9048 	 0.7309 	 1.4909 	 	 0.4449
[2022/05/28 06:13:19] - 66 	 206.6 	 	 38.7 	 	 0.1000 	 0.8580 	 0.7662 	 1.4488 	 	 0.4605 	 	 0.8656 	 0.7461 	 1.4326 	 	 0.4589
[2022/05/28 06:17:24] - 67 	 206.5 	 	 38.6 	 	 0.1000 	 0.8556 	 0.7676 	 1.4510 	 	 0.4587 	 	 0.8922 	 0.7287 	 1.4239 	 	 0.4733
[2022/05/28 06:21:29] - 68 	 206.6 	 	 38.6 	 	 0.1000 	 0.8567 	 0.7686 	 1.4484 	 	 0.4603 	 	 0.8844 	 0.7376 	 1.4327 	 	 0.4657
[2022/05/28 06:25:34] - 69 	 206.5 	 	 38.7 	 	 0.1000 	 0.8516 	 0.7709 	 1.4445 	 	 0.4610 	 	 0.8981 	 0.7284 	 1.4355 	 	 0.4574
[2022/05/28 06:29:40] - 70 	 206.7 	 	 38.6 	 	 0.1000 	 0.8542 	 0.7676 	 1.4468 	 	 0.4601 	 	 0.8539 	 0.7518 	 1.4575 	 	 0.4577
[2022/05/28 06:33:45] - 71 	 206.7 	 	 38.6 	 	 0.1000 	 0.8523 	 0.7684 	 1.4472 	 	 0.4630 	 	 0.8688 	 0.7349 	 1.4241 	 	 0.4623
[2022/05/28 06:37:51] - 72 	 206.6 	 	 38.6 	 	 0.1000 	 0.8499 	 0.7708 	 1.4440 	 	 0.4619 	 	 0.8831 	 0.7305 	 1.4468 	 	 0.4556
[2022/05/28 06:41:56] - 73 	 206.6 	 	 38.6 	 	 0.1000 	 0.8513 	 0.7725 	 1.4471 	 	 0.4616 	 	 0.8980 	 0.7146 	 1.4302 	 	 0.4660
[2022/05/28 06:46:01] - 74 	 206.6 	 	 38.6 	 	 0.1000 	 0.8543 	 0.7672 	 1.4486 	 	 0.4588 	 	 0.9272 	 0.7304 	 1.4495 	 	 0.4608
[2022/05/28 06:50:06] - 75 	 206.6 	 	 38.6 	 	 0.1000 	 0.8522 	 0.7707 	 1.4447 	 	 0.4612 	 	 0.8465 	 0.7599 	 1.4210 	 	 0.4674
[2022/05/28 06:54:12] - 76 	 206.6 	 	 38.6 	 	 0.1000 	 0.8576 	 0.7683 	 1.4495 	 	 0.4576 	 	 0.8766 	 0.7377 	 1.4034 	 	 0.4823
[2022/05/28 06:58:17] - 77 	 206.6 	 	 38.7 	 	 0.1000 	 0.8538 	 0.7690 	 1.4470 	 	 0.4599 	 	 0.8718 	 0.7404 	 1.4172 	 	 0.4694
[2022/05/28 07:02:22] - 78 	 206.6 	 	 38.6 	 	 0.1000 	 0.8460 	 0.7723 	 1.4435 	 	 0.4605 	 	 0.8760 	 0.7456 	 1.4224 	 	 0.4701
[2022/05/28 07:06:28] - 79 	 206.6 	 	 38.6 	 	 0.1000 	 0.8472 	 0.7711 	 1.4412 	 	 0.4622 	 	 0.8958 	 0.7266 	 1.4321 	 	 0.4593
[2022/05/28 07:10:33] - 80 	 206.5 	 	 38.7 	 	 0.1000 	 0.8488 	 0.7720 	 1.4460 	 	 0.4630 	 	 0.8569 	 0.7568 	 1.4267 	 	 0.4610
